path,slug,name,category,description,keywords
/calculators/pet-age-calculator,pet-age-calculator,Pet Age Calculator,calculators,"Convert a dog's or cat's age to human years, adjusted for size and breed.",dog age in human years calculator; dog years calculator; cat age in human years; pet age calculator; how old is my dog in human years
/calculators/take-home-pay-calculator,take-home-pay-calculator,Take-Home Pay Calculator,calculators,"See salary after tax for the UK, Canada, Australia or India, with every deduction.",uk take home pay calculator; salary after tax calculator; net pay calculator; income tax calculator 2026; take home salary india
/calculators/ev-charging-cost-calculator,ev-charging-cost-calculator,EV Charging Cost Calculator,calculators,"Work out what charging an electric car costs, per charge, per mile or per km.",ev charging cost calculator; electric car charging cost; cost to charge a tesla; ev vs petrol cost; kwh cost per mile
/calculators/subscription-cost-tracker,subscription-cost-tracker,Subscription Cost Tracker,calculators,"List your subscriptions to see the real monthly and yearly cost, then print it.",subscription cost calculator; subscription tracker; monthly subscriptions total; how much do i spend on subscriptions; printable subscription list
/converters/currency-converter,currency-converter,Currency Converter,converters,Convert between 30+ currencies using daily reference rates.,currency converter; exchange rate; usd to eur; money converter; forex rates
/converters/length-converter,length-converter,Length Converter,converters,"Metres, feet, inches, miles and eleven other length units.",length converter; cm to inches; feet to metres; km to miles; distance converter
/converters/weight-converter,weight-converter,Weight Converter,converters,"Kilograms, pounds, stones, ounces and grams.",weight converter; kg to lbs; pounds to kg; stone to kg; mass converter
/converters/temperature-converter,temperature-converter,Temperature Converter,converters,"Celsius, Fahrenheit, Kelvin and Rankine, side by side.",temperature converter; celsius to fahrenheit; c to f; kelvin converter
/converters/time-converter,time-converter,Time Converter,converters,"Seconds to years, and everything in between.",time converter; hours to minutes; days to hours; seconds converter
/converters/speed-converter,speed-converter,Speed Converter,converters,"km/h, mph, knots, m/s and the speed of sound.",speed converter; kmh to mph; mph to kmh; knots to mph; velocity converter
/converters/area-converter,area-converter,Area Converter,converters,"Square metres, acres, hectares, square feet and more.",area converter; square feet to square metres; acres to hectares; land area
/converters/volume-converter,volume-converter,Volume Converter,converters,"Litres, gallons, cups and spoons — US and imperial kept apart.",volume converter; litres to gallons; ml to cups; cooking measurements
/converters/data-storage-converter,data-storage-converter,Data Storage Converter,converters,"Bytes to terabytes, with decimal and binary units separated.",data storage converter; mb to gb; gib vs gb; bytes converter; file size
/converters/shoe-size-converter,shoe-size-converter,Shoe Size Converter,converters,"Convert shoe sizes between US, UK, EU and Japan, or work them out from foot length.",shoe size converter; us to uk shoe size; eu to us shoe size; womens to mens shoe size; shoe size from foot length
/converters/engine-cc-to-hp,engine-cc-to-hp,Engine CC to HP Converter,converters,"Convert cc to litres and cubic inches, and estimate horsepower from engine size.",cc to hp converter; cc to horsepower; engine size to hp; cc to litres; ps to hp
/converters/timezone-meeting-planner,timezone-meeting-planner,Time Zone Meeting Planner,converters,Compare cities hour by hour to find meeting times inside everyone's working day.,time zone meeting planner; meeting time zone converter; world clock meeting planner; best time to meet across time zones; time zone overlap
/developer/json-formatter,json-formatter,JSON Formatter,developer,"Pretty-print or minify JSON, with the exact error position.",json formatter; json beautifier; pretty print json; json pretty; format json online
/developer/json-validator,json-validator,JSON Validator,developer,Check JSON syntax and get a plain-English explanation of errors.,json validator; validate json; json syntax checker; is my json valid
/developer/json-to-csv,json-to-csv,JSON to CSV,developer,Flatten nested JSON into a spreadsheet-ready CSV.,json to csv; convert json to excel; json to spreadsheet; flatten json
/developer/base64-encoder,base64-encoder,Base64 Encoder,developer,"Encode text or a file to Base64, standard or URL-safe.",base64 encoder; encode base64; text to base64; file to base64; data uri
/developer/base64-decoder,base64-decoder,Base64 Decoder,developer,Decode Base64 back to text or download it as a file.,base64 decoder; decode base64; base64 to text; base64 to file
/developer/url-encoder,url-encoder,URL Encoder,developer,Percent-encode a whole URL or a single query parameter.,url encoder; percent encoding; encode uri; escape url; query string encoder
/developer/url-decoder,url-decoder,URL Decoder,developer,Decode percent-encoded URLs and break out query parameters.,url decoder; decode url; unescape url; percent decode; parse query string
/developer/html-formatter,html-formatter,HTML Formatter,developer,"Indent messy HTML, or minify it for production.",html formatter; html beautifier; format html; html minifier; indent html
/developer/css-formatter,css-formatter,CSS Formatter,developer,"Beautify or minify stylesheets, including nested rules.",css formatter; css beautifier; format css; css minifier; tidy css
/developer/timestamp-converter,timestamp-converter,Timestamp Converter,developer,"Unix time to a readable date, in UTC and your local zone.",timestamp converter; unix timestamp; epoch converter; epoch to date; iso 8601
/developer/checksum-verifier,checksum-verifier,File Checksum Verifier,developer,"Calculate MD5, SHA-1, SHA-256 or SHA-512 and compare with a published hash.",verify file checksum online; sha256 checksum; md5 checksum; file hash calculator; check file integrity
/developer/ssl-expiry-checker,ssl-expiry-checker,SSL Certificate Checker,developer,See when a domain's SSL certificate expires and whether its chain is trusted.,check ssl certificate expiry date; ssl certificate checker; ssl expiry checker; tls certificate check; certificate chain checker
/developer/email-syntax-checker,email-syntax-checker,Email Address Validator,developer,"Check email address format with plain-English errors, typo fixes and MX lookups.",check if email address is valid format; email address validator; email syntax checker; mx record lookup; verify email domain
/developer/password-strength-checker,password-strength-checker,Password Strength Checker,developer,"Estimate how long a password would take to crack, checked privately in your browser.",password strength checker; how strong is my password; password crack time; password security test; zxcvbn password checker
/developer/og-preview,og-preview,Open Graph Preview,developer,"Preview how a link looks when shared, and check or write its Open Graph tags.",open graph preview tool; og tags checker; social share preview; twitter card validator; link preview generator
/generators/qr-code-generator,qr-code-generator,QR Code Generator,generators,"QR codes for links, text, email, phone, SMS and Wi-Fi.",qr code generator; make a qr code; wifi qr code; url to qr; free qr code
/generators/barcode-generator,barcode-generator,Barcode Generator,generators,"CODE128, EAN-13, UPC-A and other retail barcode formats.",barcode generator; ean 13 generator; code128; upc barcode; product barcode
/generators/password-generator,password-generator,Password Generator,generators,Strong random passwords and passphrases with a strength estimate.,password generator; strong password; random password; secure password maker
/generators/random-number-generator,random-number-generator,Random Number Generator,generators,"Pick numbers in a range, with or without repeats.",random number generator; pick a random number; lottery numbers; dice roller
/generators/invoice-generator,invoice-generator,Invoice Generator,generators,Build a professional invoice and export it as a real PDF.,invoice generator; free invoice template; create invoice pdf; billing
/generators/resume-generator,resume-generator,Resume Generator,generators,Fill in your details and download a clean one-page CV.,resume generator; cv builder; free resume maker; resume pdf; curriculum vitae
/generators/lorem-ipsum-generator,lorem-ipsum-generator,Lorem Ipsum Generator,generators,"Placeholder copy by paragraph, sentence, word or list.",lorem ipsum generator; dummy text; placeholder text; filler text
/generators/uuid-generator,uuid-generator,UUID Generator,generators,"Version 4 and version 7 UUIDs, plus NIL and ULID-style output.",uuid generator; guid generator; uuid v4; uuid v7; random id
/generators/robots-txt-generator,robots-txt-generator,Robots.txt Generator and Tester,generators,Build a robots.txt file and test which URLs each crawler may fetch.,robots.txt generator; robots.txt tester; block ai crawlers robots.txt; robots txt checker; disallow googlebot
/generators/schema-generator,schema-generator,Schema Markup Generator,generators,"Create FAQ and Product JSON-LD structured data, checked against Google's rules.",faq schema generator; product schema generator; json-ld generator; structured data generator; faqpage schema markup
/generators/utm-builder,utm-builder,UTM Link Builder,generators,"Build campaign links with UTM tags, keep a history and download QR codes.",utm link builder; utm builder; campaign url builder; google analytics utm; utm qr code
/generators/qr-code-wifi-vcard,qr-code-wifi-vcard,Wi-Fi and vCard QR Code Generator,generators,"Make QR codes for Wi-Fi, contact cards, menus and events, with printable cards.",wifi qr code generator; vcard qr code generator; menu qr code; event qr code; printable wifi qr card
/image/compress-image,compress-image,Compress Image,image,Cut image file size with a live before-and-after preview.,compress image; reduce image size; image compressor; optimise photo; shrink jpg
/image/resize-image,resize-image,Resize Image,image,"Change dimensions by pixels or percentage, aspect ratio locked.",resize image; change image dimensions; scale photo; image resizer
/image/jpg-to-png,jpg-to-png,JPG to PNG,image,Convert JPG photos to lossless PNG files.,jpg to png; jpeg to png; convert jpg to png
/image/png-to-jpg,png-to-jpg,PNG to JPG,image,Convert PNG to JPG with a background colour for transparency.,png to jpg; png to jpeg; convert png to jpg; remove png transparency
/image/webp-to-jpg,webp-to-jpg,WebP to JPG,image,Turn WebP images into JPGs that any app can open.,webp to jpg; webp to jpeg; convert webp; open webp file
/image/heic-to-jpg,heic-to-jpg,HEIC to JPG,image,Convert iPhone HEIC photos into universally readable JPGs.,heic to jpg converter online; heic to jpg; heic to jpeg; batch heic converter; iphone photo converter; open heic on windows
/image/image-to-text,image-to-text,Image to Text (OCR),image,Read the words out of a screenshot or photo of a document.,image to text; ocr online; extract text from image; picture to text; screenshot to text
/image/image-to-pdf,image-to-pdf,Image to PDF,image,Combine any mix of images into one PDF document.,image to pdf; photo to pdf; png to pdf; pictures to pdf
/image/crop-image,crop-image,Crop Image,image,Drag out a crop area or snap to a preset aspect ratio.,crop image; cut photo; trim image; crop to square; image cropper
/image/rotate-image,rotate-image,Rotate Image,image,Rotate in 90° steps or flip horizontally and vertically.,rotate image; flip image; turn photo; mirror image
/image/image-converter,image-converter,Image Converter,image,"Convert between JPG, PNG and WebP in a single batch.",image converter; convert image format; batch image convert; change image type
/image/webp-to-png,webp-to-png,WebP to PNG,image,"Convert WebP images to PNG with transparency kept, or to JPG.",webp to png converter; webp to png; convert webp to png; webp to jpg; save webp as png
/image/avif-to-jpg,avif-to-jpg,AVIF to JPG,image,Convert AVIF images to JPG or PNG that older apps can open.,avif to jpg; avif to jpeg; avif to png; convert avif; open avif file
/image/image-color-palette,image-color-palette,Color Palette Extractor,image,"Pull the dominant colours out of any image as HEX, RGB and HSL.",extract colors from image online; color palette from image; image color picker; dominant colors; hex color from image
/image/exif-remover,exif-remover,EXIF Viewer and Remover,image,"See the hidden camera and GPS data in a photo, then strip it out.",remove exif data from photo online; exif remover; exif viewer; remove gps location from photo; strip image metadata
/image/favicon-generator,favicon-generator,Favicon Generator,image,"Make favicon.ico, Apple touch and Android icons from an image or letter.",favicon generator; favicon ico generator; create favicon from image; apple touch icon generator; web manifest icons
/pdf/merge-pdf,merge-pdf,Merge PDF,pdf,"Combine several PDFs into one file, in the order you choose.",merge pdf; combine pdf; join pdf; pdf merger; concatenate pdf
/pdf/split-pdf,split-pdf,Split PDF,pdf,Break a PDF into separate files by page range or one file per page.,split pdf; divide pdf; separate pdf pages; pdf splitter
/pdf/compress-pdf,compress-pdf,Compress PDF,pdf,Shrink a PDF by re-encoding the images inside it.,compress pdf; reduce pdf size; shrink pdf; pdf compressor
/pdf/pdf-to-word,pdf-to-word,PDF to Word,pdf,Pull the text out of a PDF into an editable .docx document.,pdf to word; pdf to docx; convert pdf to word; pdf to editable text
/pdf/word-to-pdf,word-to-pdf,Word to PDF,pdf,"Turn a .docx document into a clean, shareable PDF.",word to pdf; docx to pdf; convert word document to pdf
/pdf/pdf-to-jpg,pdf-to-jpg,PDF to JPG,pdf,Render every page of a PDF as a JPG image.,pdf to jpg; pdf to jpeg; pdf to image; convert pdf pages to images
/pdf/jpg-to-pdf,jpg-to-pdf,JPG to PDF,pdf,"Put your photos into a single PDF, one image per page.",jpg to pdf; jpeg to pdf; images to pdf; photo to pdf
/pdf/pdf-to-png,pdf-to-png,PDF to PNG,pdf,Export PDF pages as lossless PNG images.,pdf to png; pdf page to png; pdf to transparent image
/pdf/pdf-to-excel,pdf-to-excel,PDF to Excel,pdf,Recover tables from a PDF into an .xlsx spreadsheet.,pdf to excel; pdf to xlsx; pdf table to spreadsheet; extract table from pdf
/pdf/pdf-to-text,pdf-to-text,PDF to Text,pdf,"Extract the plain text from a PDF, page by page.",pdf to text; extract text from pdf; pdf to txt; copy text from pdf
/pdf/rotate-pdf,rotate-pdf,Rotate PDF,pdf,Turn sideways or upside-down pages the right way up.,rotate pdf; turn pdf pages; fix pdf orientation; rotate pdf pages
/pdf/delete-pdf-pages,delete-pdf-pages,Delete PDF Pages,pdf,Remove the pages you do not need and keep the rest.,delete pdf pages; remove pages from pdf; erase pdf page
/pdf/extract-pdf-pages,extract-pdf-pages,Extract PDF Pages,pdf,Pull selected pages out into a brand new PDF.,extract pdf pages; get pages from pdf; select pdf pages; pdf page extractor
/pdf/pdf-add-page-numbers,pdf-add-page-numbers,Add Page Numbers to PDF,pdf,"Number PDF pages in any corner, in the format and from the number you choose.",add page numbers to pdf online; number pdf pages; pdf page numbering; insert page numbers pdf; bates style page numbers
/pdf/pdf-table-to-excel,pdf-table-to-excel,PDF Table Extractor,pdf,Pull a table that spans many PDF pages into one Excel or CSV sheet.,extract table from pdf to excel; pdf table to csv; multi page pdf table to excel; copy table from pdf; pdf table extractor
/pdf/pdf-metadata-editor,pdf-metadata-editor,PDF Metadata Editor,pdf,"Edit or clear a PDF's title, author, keywords, dates and producer.",edit pdf metadata online; change pdf title; remove pdf metadata; pdf properties editor; pdf author change
/pdf/pdf-resize-page,pdf-resize-page,PDF Page Size Converter,pdf,"Convert PDF pages between A4, Letter, Legal, A3 and A5, scaled to fit.",convert pdf a4 to letter; pdf letter to a4; change pdf page size; resize pdf pages; pdf paper size converter
/text/word-counter,word-counter,Word Counter,text,"Live word, character, sentence and reading-time counts.",word counter; count words; essay word count; character count; reading time
/text/character-counter,character-counter,Character Counter,text,"Count characters against Twitter, SMS and meta-tag limits.",character counter; count characters; letter count; sms character limit
/text/case-converter,case-converter,Case Converter,text,"UPPER, lower, Title, Sentence, camelCase, snake_case and more.",case converter; uppercase to lowercase; title case; camelcase converter
/text/remove-duplicate-lines,remove-duplicate-lines,Remove Duplicate Lines,text,Strip repeated lines and see exactly how many were removed.,remove duplicate lines; deduplicate text; unique lines; delete repeated lines
/text/sort-lines,sort-lines,Sort Lines,text,"Alphabetical, numeric, length or random line ordering.",sort lines; alphabetise list; sort text; order lines alphabetically
/text/text-reverser,text-reverser,Text Reverser,text,"Reverse characters, words or the order of the lines.",text reverser; reverse text; backwards text; mirror words
/text/text-cleaner,text-cleaner,Text Cleaner,text,"Fix smart quotes, stray spaces and broken line breaks.",text cleaner; remove extra spaces; strip formatting; clean up text; remove line breaks
/text/linkedin-formatter,linkedin-formatter,LinkedIn Post Formatter,text,"Add bold, italic, bullets and safe line breaks to a LinkedIn post, then copy it.",linkedin post formatter; linkedin bold text; linkedin italic text generator; format linkedin post; linkedin line breaks
/text/voice-to-text,voice-to-text,Voice to Text Converter,text,Transcribe voice notes and short audio clips with speech recognition that runs in your browser.,voice message to text converter; voice note to text; audio to text; transcribe whatsapp voice message; speech to text from file
/text/resume-ats-checker,resume-ats-checker,Resume ATS Checker,text,Compare your resume with a job ad for missing keywords and ATS formatting problems.,resume ats checker free; ats resume scanner; resume keyword checker; cv checker; applicant tracking system test
